Dhat,inCI,Layout,GType
22.93891799,TRUE,random,HalfNorm
19.56262144,TRUE,transect,HalfNorm
11.96463955,TRUE,structured,Empirical
18.1260715,TRUE,random,Empirical
17.57336164,TRUE,transect,Empirical
11.62596481,TRUE,structured,HalfNorm
27.00277447,TRUE,random,HalfNorm
17.347381,TRUE,transect,HalfNorm
11.95708204,TRUE,structured,Empirical
20.03725193,TRUE,random,Empirical
11.71350742,FALSE,transect,Empirical
14.79148739,TRUE,structured,HalfNorm
7.556283267,FALSE,random,HalfNorm
13.32928083,TRUE,transect,HalfNorm
14.37121289,TRUE,structured,Empirical
7.522902548,FALSE,random,Empirical
12.14733293,FALSE,transect,Empirical
12.99962056,TRUE,structured,HalfNorm
18.97079027,TRUE,random,HalfNorm
15.80810433,TRUE,transect,HalfNorm
10.96333775,FALSE,structured,Empirical
17.73325583,TRUE,random,Empirical
12.627114,TRUE,transect,Empirical
22.61623949,TRUE,structured,HalfNorm
18.07863546,TRUE,random,HalfNorm
12.26820489,FALSE,transect,HalfNorm
13.74257466,TRUE,structured,Empirical
18.28641941,TRUE,random,Empirical
13.83632231,TRUE,transect,Empirical
9.634206693,FALSE,structured,HalfNorm
28.76511208,TRUE,random,HalfNorm
23.12838737,TRUE,transect,HalfNorm
14.16285086,TRUE,structured,Empirical
14.78656136,TRUE,random,Empirical
20.3122791,TRUE,transect,Empirical
10.88692108,FALSE,structured,HalfNorm
16.47626957,TRUE,random,HalfNorm
14.50362082,TRUE,transect,HalfNorm
8.062049687,FALSE,structured,Empirical
15.9669462,TRUE,random,Empirical
9.715654801,FALSE,transect,Empirical
16.22725065,TRUE,structured,HalfNorm
10.31468827,FALSE,random,HalfNorm
17.69140736,TRUE,transect,HalfNorm
14.76468912,TRUE,structured,Empirical
7.876451083,FALSE,random,Empirical
15.32356766,TRUE,transect,Empirical
20.69588725,TRUE,structured,HalfNorm
25.37412573,TRUE,random,HalfNorm
18.75538819,TRUE,transect,HalfNorm
18.21761059,TRUE,structured,Empirical
21.36514374,TRUE,random,Empirical
10.62361466,FALSE,transect,Empirical
14.73166542,TRUE,structured,HalfNorm
22.27161441,TRUE,random,HalfNorm
22.7993025,TRUE,transect,HalfNorm
13.03392135,TRUE,structured,Empirical
16.4393829,TRUE,random,Empirical
17.99042706,TRUE,transect,Empirical
9.90795444,FALSE,structured,HalfNorm
14.21309122,TRUE,random,HalfNorm
25.51564874,TRUE,transect,HalfNorm
11.72435052,FALSE,structured,Empirical
15.93142577,TRUE,random,Empirical
15.37426141,TRUE,transect,Empirical
20.4145298,TRUE,structured,HalfNorm
17.42530061,TRUE,random,HalfNorm
14.23855006,TRUE,transect,HalfNorm
17.87575014,TRUE,structured,Empirical
16.04792029,TRUE,random,Empirical
12.46895905,FALSE,transect,Empirical
18.40477102,TRUE,structured,HalfNorm
16.47939347,TRUE,random,HalfNorm
13.38775031,TRUE,transect,HalfNorm
17.87756072,TRUE,structured,Empirical
8.754004243,FALSE,random,Empirical
13.22914303,TRUE,transect,Empirical
20.65828333,TRUE,structured,HalfNorm
18.7074977,TRUE,random,HalfNorm
25.34602424,TRUE,transect,HalfNorm
15.34689747,TRUE,structured,Empirical
16.55983029,TRUE,random,Empirical
19.40702323,TRUE,transect,Empirical
13.20983701,TRUE,structured,HalfNorm
17.69355255,TRUE,random,HalfNorm
17.8768499,TRUE,transect,HalfNorm
13.62299452,TRUE,structured,Empirical
15.27278855,TRUE,random,Empirical
14.38164587,TRUE,transect,Empirical
15.05257536,TRUE,structured,HalfNorm
16.69417132,TRUE,random,HalfNorm
11.14644671,FALSE,transect,HalfNorm
13.85207641,TRUE,structured,Empirical
16.54793386,TRUE,random,Empirical
11.38056966,FALSE,transect,Empirical
12.03051414,FALSE,structured,HalfNorm
11.83148524,TRUE,random,HalfNorm
19.57238224,TRUE,transect,HalfNorm
12.67060167,TRUE,structured,Empirical
12.08610417,TRUE,random,Empirical
12.80509756,TRUE,transect,Empirical
23.81568812,TRUE,structured,HalfNorm
19.72315318,TRUE,random,HalfNorm
10.68228097,FALSE,transect,HalfNorm
15.30797184,TRUE,structured,Empirical
13.56703918,TRUE,random,Empirical
12.46227509,TRUE,transect,Empirical
21.56446065,TRUE,structured,HalfNorm
12.71079814,TRUE,random,HalfNorm
26.76673678,TRUE,transect,HalfNorm
12.07433577,TRUE,structured,Empirical
8.969809185,FALSE,random,Empirical
19.50234999,TRUE,transect,Empirical
11.09357917,TRUE,structured,HalfNorm
23.12952804,TRUE,random,HalfNorm
15.67996228,TRUE,transect,HalfNorm
14.47387619,TRUE,structured,Empirical
19.76663654,TRUE,random,Empirical
14.73425765,TRUE,transect,Empirical
11.08489485,TRUE,structured,HalfNorm
15.79767787,TRUE,random,HalfNorm
18.82598166,TRUE,transect,HalfNorm
10.45971879,FALSE,structured,Empirical
13.41761841,TRUE,random,Empirical
21.43959876,TRUE,transect,Empirical
22.85883691,TRUE,structured,HalfNorm
15.02055287,TRUE,random,HalfNorm
12.48959016,TRUE,transect,HalfNorm
18.53197559,TRUE,structured,Empirical
11.66573399,FALSE,random,Empirical
13.45573414,TRUE,transect,Empirical
16.44794848,TRUE,structured,HalfNorm
9.987202507,FALSE,random,HalfNorm
29.01960067,TRUE,transect,HalfNorm
13.49253903,TRUE,structured,Empirical
8.142561013,FALSE,random,Empirical
19.93826228,TRUE,transect,Empirical
21.2233256,TRUE,structured,HalfNorm
26.59475105,TRUE,random,HalfNorm
20.7042157,TRUE,transect,HalfNorm
15.20550127,TRUE,structured,Empirical
21.16987293,TRUE,random,Empirical
11.30309241,FALSE,transect,Empirical
19.36127083,TRUE,structured,HalfNorm
22.53559476,TRUE,random,HalfNorm
13.35056171,TRUE,transect,HalfNorm
14.8437132,TRUE,structured,Empirical
18.61024683,TRUE,random,Empirical
8.925633351,FALSE,transect,Empirical
20.52997414,TRUE,structured,HalfNorm
20.9982497,TRUE,random,HalfNorm
19.9790424,TRUE,transect,HalfNorm
16.16187941,TRUE,structured,Empirical
16.79197634,TRUE,random,Empirical
20.91850645,TRUE,transect,Empirical
20.40217891,TRUE,structured,HalfNorm
11.65404893,TRUE,random,HalfNorm
18.24605421,TRUE,transect,HalfNorm
14.49758698,TRUE,structured,Empirical
13.30977711,TRUE,random,Empirical
13.60770239,TRUE,transect,Empirical
23.87740691,TRUE,structured,HalfNorm
19.84617856,TRUE,random,HalfNorm
19.95143311,TRUE,transect,HalfNorm
15.92326965,TRUE,structured,Empirical
15.50705618,TRUE,random,Empirical
12.17252505,FALSE,transect,Empirical
16.93499301,TRUE,structured,HalfNorm
14.79092471,TRUE,random,HalfNorm
12.28269267,TRUE,transect,HalfNorm
12.80295057,TRUE,structured,Empirical
6.441327632,FALSE,random,Empirical
12.94600042,TRUE,transect,Empirical
22.90873035,TRUE,structured,HalfNorm
20.6683577,TRUE,random,HalfNorm
22.62866288,TRUE,transect,HalfNorm
14.55268355,TRUE,structured,Empirical
15.97254162,TRUE,random,Empirical
16.8452087,TRUE,transect,Empirical
16.93898065,TRUE,structured,HalfNorm
11.96853455,TRUE,random,HalfNorm
14.78482722,TRUE,transect,HalfNorm
13.44749064,TRUE,structured,Empirical
9.341119631,FALSE,random,Empirical
12.45561976,FALSE,transect,Empirical
20.29085078,TRUE,structured,HalfNorm
21.69136587,TRUE,random,HalfNorm
19.09252422,TRUE,transect,HalfNorm
14.66643728,TRUE,structured,Empirical
15.94964496,TRUE,random,Empirical
17.27189551,TRUE,transect,Empirical
21.17992791,TRUE,structured,HalfNorm
17.44841185,TRUE,random,HalfNorm
20.12136278,TRUE,transect,HalfNorm
15.33354833,TRUE,structured,Empirical
11.73267532,FALSE,random,Empirical
16.52003253,TRUE,transect,Empirical
21.26645051,TRUE,structured,HalfNorm
18.34974639,TRUE,random,HalfNorm
15.02255921,TRUE,transect,HalfNorm
14.66962548,TRUE,structured,Empirical
12.06814986,FALSE,random,Empirical
18.26202453,TRUE,transect,Empirical
17.0306463,TRUE,structured,HalfNorm
16.25644337,TRUE,random,HalfNorm
15.47090232,TRUE,transect,HalfNorm
16.17251245,TRUE,structured,Empirical
12.55982498,TRUE,random,Empirical
15.74735226,TRUE,transect,Empirical
20.44705182,TRUE,structured,HalfNorm
15.79173638,TRUE,random,HalfNorm
18.37809843,TRUE,transect,HalfNorm
12.1855124,TRUE,structured,Empirical
11.45675358,FALSE,random,Empirical
13.43923925,TRUE,transect,Empirical
18.00397473,TRUE,structured,HalfNorm
12.78908999,TRUE,random,HalfNorm
13.42864991,TRUE,transect,HalfNorm
17.83702323,TRUE,structured,Empirical
10.34064882,FALSE,random,Empirical
13.146277,TRUE,transect,Empirical
21.46123174,TRUE,structured,HalfNorm
16.85820926,TRUE,random,HalfNorm
14.06194665,TRUE,transect,HalfNorm
18.20859184,TRUE,structured,Empirical
15.09636891,TRUE,random,Empirical
11.5385054,FALSE,transect,Empirical
23.76293392,TRUE,structured,HalfNorm
21.01114949,TRUE,random,HalfNorm
11.03129298,FALSE,transect,HalfNorm
13.83081554,TRUE,structured,Empirical
17.80368321,TRUE,random,Empirical
12.10937974,FALSE,transect,Empirical
20.37962743,TRUE,structured,HalfNorm
16.77802348,TRUE,random,HalfNorm
23.37074884,TRUE,transect,HalfNorm
17.88756283,TRUE,structured,Empirical
13.68263264,TRUE,random,Empirical
18.30108564,TRUE,transect,Empirical
21.91691711,TRUE,structured,HalfNorm
16.79673225,TRUE,random,HalfNorm
27.30110223,TRUE,transect,HalfNorm
14.42044488,TRUE,structured,Empirical
13.97318399,TRUE,random,Empirical
13.48599078,TRUE,transect,Empirical
20.80270663,TRUE,structured,HalfNorm
15.89902658,TRUE,random,HalfNorm
17.84839074,TRUE,transect,HalfNorm
23.40592493,TRUE,structured,Empirical
14.64594446,TRUE,random,Empirical
12.08988839,FALSE,transect,Empirical
19.32996662,TRUE,structured,HalfNorm
18.41886888,TRUE,random,HalfNorm
11.08454261,TRUE,transect,HalfNorm
16.34732966,TRUE,structured,Empirical
15.18299168,TRUE,random,Empirical
14.10346198,TRUE,transect,Empirical
23.32743707,TRUE,structured,HalfNorm
23.13136877,TRUE,random,HalfNorm
13.8007816,TRUE,transect,HalfNorm
16.47678413,TRUE,structured,Empirical
12.99660947,TRUE,random,Empirical
14.19402181,TRUE,transect,Empirical
19.37839325,TRUE,structured,HalfNorm
14.15027663,TRUE,random,HalfNorm
14.0881154,TRUE,transect,HalfNorm
12.29673412,FALSE,structured,Empirical
12.09283472,FALSE,random,Empirical
13.84294669,TRUE,transect,Empirical
21.08660101,TRUE,structured,HalfNorm
13.23613154,TRUE,random,HalfNorm
15.81958533,TRUE,transect,HalfNorm
15.86518896,TRUE,structured,Empirical
10.5796524,FALSE,random,Empirical
14.85078929,TRUE,transect,Empirical
15.83489026,TRUE,structured,HalfNorm
22.83904218,TRUE,random,HalfNorm
21.56026467,TRUE,transect,HalfNorm
15.97917792,TRUE,structured,Empirical
16.82413822,TRUE,random,Empirical
13.03956677,TRUE,transect,Empirical
16.64710971,TRUE,structured,HalfNorm
26.68587365,TRUE,random,HalfNorm
17.38061686,TRUE,transect,HalfNorm
15.64448557,TRUE,structured,Empirical
21.28990716,TRUE,random,Empirical
14.35234162,TRUE,transect,Empirical
16.56676895,TRUE,structured,HalfNorm
17.25454991,TRUE,random,HalfNorm
14.4195868,TRUE,transect,HalfNorm
12.55628827,TRUE,structured,Empirical
10.47857582,FALSE,random,Empirical
6.965313333,FALSE,transect,Empirical
16.97417623,TRUE,structured,HalfNorm
13.9851876,TRUE,random,HalfNorm
12.13906996,TRUE,transect,HalfNorm
13.05068394,TRUE,structured,Empirical
17.35316291,TRUE,random,Empirical
8.928955327,FALSE,transect,Empirical
20.73337428,TRUE,structured,HalfNorm
10.23965472,FALSE,random,HalfNorm
20.41443359,TRUE,transect,HalfNorm
15.07382825,TRUE,structured,Empirical
14.88717223,TRUE,random,Empirical
14.02839263,TRUE,transect,Empirical
15.54264859,TRUE,structured,HalfNorm
12.07572992,TRUE,random,HalfNorm
17.06243992,TRUE,transect,HalfNorm
13.95515483,TRUE,structured,Empirical
13.16837934,TRUE,random,Empirical
8.369639887,FALSE,transect,Empirical
14.85616865,TRUE,structured,HalfNorm
11.01626803,TRUE,random,HalfNorm
